test_cost,opt_cost
49.0,53.0
33.0,33.0
13.0,13.0
5.0,5.0
6.0,6.0
34.0,34.0
70.0,73.0
84.0,84.0
31.0,31.0
9.0,9.0
16.0,16.0
19.0,19.0
9.0,9.0
46.0,49.0
12.0,13.0
21.0,24.0
21.0,22.0
46.0,68.0
11.0,11.0
14.0,16.0
6.0,6.0
27.0,27.0
19.0,27.0
8.0,9.0
16.0,18.0
27.0,28.0
27.0,27.0
18.0,22.0
8.0,9.0
33.0,33.0
92.0,93.0
9.0,9.0
67.0,72.0
11.0,11.0
16.0,16.0
23.0,23.0
8.0,8.0
66.0,66.0
5.0,5.0
6.0,7.0
20.0,20.0
12.0,12.0
14.0,14.0
9.0,9.0
5.0,6.0
35.0,35.0
25.0,25.0
27.0,27.0
7.0,8.0
11.0,11.0
2.0,4.0
14.0,15.0
15.0,15.0
6.0,6.0
13.0,14.0
76.0,89.0
17.0,19.0
91.0,91.0
14.0,14.0
26.0,28.0
31.0,31.0
18.0,18.0
31.0,34.0
42.0,52.0
8.0,8.0
12.0,12.0
54.0,54.0
12.0,12.0
25.0,25.0
11.0,11.0
13.0,13.0
24.0,24.0
34.0,35.0
85.0,90.0
15.0,17.0
10.0,10.0
57.0,57.0
24.0,24.0
11.0,11.0
15.0,15.0
8.0,8.0
8.0,8.0
16.0,16.0
30.0,32.0
16.0,16.0
6.0,7.0
15.0,15.0
29.0,30.0
12.0,13.0
34.0,45.0
44.0,44.0
24.0,24.0
12.0,16.0
33.0,33.0
11.0,12.0
31.0,31.0
22.0,22.0
15.0,15.0
49.0,58.0
18.0,27.0
28.0,31.0
11.0,13.0
72.0,79.0
35.0,39.0
11.0,11.0
5.0,5.0
23.0,23.0
12.0,12.0
126.0,126.0
17.0,17.0
40.0,43.0
8.0,9.0
14.0,18.0
8.0,8.0
16.0,16.0
4.0,5.0
14.0,14.0
6.0,6.0
18.0,18.0
26.0,26.0
15.0,16.0
12.0,12.0
31.0,35.0
4.0,5.0
25.0,27.0
12.0,12.0
11.0,11.0
111.0,112.0
5.0,5.0
20.0,24.0
18.0,18.0
24.0,24.0
7.0,8.0
17.0,21.0
77.0,111.0
10.0,10.0
11.0,11.0
66.0,71.0
49.0,49.0
10.0,10.0
13.0,13.0
23.0,26.0
47.0,48.0
12.0,14.0
32.0,32.0
47.0,51.0
22.0,22.0
30.0,50.0
16.0,16.0
14.0,18.0
47.0,47.0
21.0,22.0
3.0,5.0
8.0,8.0
7.0,7.0
16.0,16.0
11.0,11.0
18.0,18.0
11.0,11.0
7.0,7.0
25.0,25.0
44.0,45.0
27.0,27.0
13.0,13.0
74.0,74.0
20.0,20.0
37.0,38.0
29.0,29.0
66.0,66.0
6.0,7.0
13.0,17.0
5.0,6.0
24.0,26.0
14.0,16.0
37.0,39.0
6.0,6.0
2.0,4.0
13.0,14.0
28.0,29.0
66.0,66.0
5.0,8.0
33.0,33.0
16.0,19.0
10.0,10.0
8.0,8.0
23.0,28.0
12.0,12.0
38.0,40.0
15.0,24.0
14.0,14.0
41.0,44.0
9.0,9.0
10.0,10.0
13.0,13.0
6.0,7.0
44.0,44.0
43.0,44.0
20.0,20.0
33.0,34.0
8.0,8.0
