item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8
5.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
5.0,5.0,3.0,2.0,4.0,2.0,4.0,1.0
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,4.0,1.0,4.0,13.0,1.0,9.0
2.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0
5.0,2.0,14.0,6.0,7.0,10.0,11.0,4.0
2.0,3.0,3.0,13.0,1.0,6.0,5.0,8.0
1.0,2.0,4.0,4.0,2.0,6.0,6.0,7.0
10.0,3.0,3.0,19.0,1.0,5.0,7.0,6.0
20.0,1.0,16.0,7.0,54.0,3.0,16.0,2.0
4.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0
1.0,1.0,2.0,3.0,1.0,2.0,2.0,5.0
4.0,3.0,1.0,10.0,3.0,3.0,1.0,1.0
1.0,1.0,2.0,4.0,8.0,3.0,6.0,4.0
2.0,2.0,8.0,2.0,3.0,5.0,3.0,4.0
14.0,4.0,8.0,16.0,4.0,10.0,6.0,4.0
8.0,8.0,38.0,12.0,10.0,9.0,12.0,5.0
1.0,1.0,2.0,3.0,1.0,3.0,4.0,4.0
5.0,6.0,10.0,8.0,4.0,7.0,2.0,5.0
1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0
1.0,1.0,1.0,4.0,7.0,7.0,5.0,4.0
2.0,2.0,2.0,2.0,1.0,2.0,5.0,4.0
1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0
3.0,4.0,1.0,1.0,10.0,3.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0
6.0,2.0,3.0,3.0,7.0,3.0,2.0,3.0
3.0,1.0,1.0,2.0,5.0,1.0,8.0,1.0
31.0,6.0,13.0,7.0,1.0,1.0,32.0,1.0
12.0,2.0,3.0,13.0,2.0,3.0,19.0,3.0
17.0,8.0,2.0,2.0,3.0,1.0,1.0,1.0
30.0,8.0,20.0,7.0,4.0,2.0,16.0,3.0
1.0,1.0,2.0,3.0,2.0,6.0,3.0,6.0
