run,I,n_layers,n_params,time_ls,yerr_ls_train,cost_ls_train,yerr_ls_test,cost_ls_test,time_bl,yerr_bl_train,cost_bl_train,yerr_bl_test,cost_bl_test,time_nm,yerr_nm_train,cost_nm_train,yerr_nm_test,cost_nm_test,time_gd,yerr_gd_train,cost_gd_train,yerr_gd_test,cost_gd_test
1,1,0,5,2.424424171447754,7.611897,-312.0007351907094,10.072657,-124.34482481002807,16.844796895980835,20.454116821289062,-317.89883335431415,26.1552734375,-129.81950384140015,26.31453800201416,20.51169204711914,-317.8324545764923,27.206218719482422,-130.11549621582031,38.666444063186646,28.746544,-315.4198609956106,12.655392,-127.1501173210144
1,1,2,369,59.66063213348389,3.8417282,-316.1359536711375,77.70153,-108.76981990694999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.647424936294556,5.797337,-318.332176164786,82.143875,-112.5232619535923
1,2,0,10,0.009397029876708984,8.458287,-179.59907515366874,10.721111,-110.91555770397186,0.2186110019683838,24.39472007751465,-191.8265787967046,24.707517623901367,-130.24272827625273,39.291827917099,24.428712844848633,-191.388318956693,19.66741371154785,-129.32533977031707,10.841195106506348,23.081923,-190.63411329746248,37.125877,-129.1875926685333
1,2,2,738,114.48499512672424,3.686772,-190.01881878058114,45.28187,-89.42101026058197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.441956043243408,7.437618,-194.5656424188614,45.54811,-96.13249304294587
1,10,0,50,0.03085017204284668,8.829783,-846.6877134820819,10.447116,-698.2398456484079,1.329340934753418,23.53973960876465,-913.842329928577,22.075664520263672,-780.9837936191261,328.14971017837524,24.146514892578125,-913.7175710932911,22.994142532348633,-784.0806364928186,300.12596321105957,23.901329,-913.4736491731306,22.818142,-784.3493981419504
1,10,2,3690,180.00292086601257,3.4676995,-902.1399562712014,37.227757,-601.3740870790184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300.3660259246826,9.630108,-933.052712401102,41.26487,-666.4741335122287
1,20,0,100,0.058634042739868164,9.012139,-1087.0745746152104,9.729013,-585.2114693354071,3.4949469566345215,23.29657745361328,-1218.7195629874866,29.463022232055664,-724.5604739877582,358.35714888572693,14.452418327331543,-1196.2676029222707,14.308518409729004,-713.4548319886625,300.1645300388336,30.93085,-1200.5128215132156,25.250696,-690.2022869044542
1,20,2,7380,145.89275598526,4.7665243,-1170.563810529262,35.52355,-357.9330178797245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300.07643485069275,14.6622305,-1246.8549598019817,35.92396,-541.5038110387326
1,50,0,250,0.15603208541870117,8.669762,-5680.01896365419,10.379183,-3677.520701457858,10.136237144470215,22.975875854492188,-6012.971270487457,25.044347763061523,-4023.047066889107,457.5199840068817,8.896448135375977,-5761.880065206836,10.665892601013184,-3760.477828013301,300.07517099380493,23.71123,-6010.539621197234,25.201847,-4027.3482066872716
1,50,2,18450,157.99630212783813,4.7484593,-5868.748630654911,26.319197,-3462.5263373444973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300.46063113212585,14.582365,-6063.558620636314,39.126316,-3785.8748582822086
2,1,0,5,0.0048868656158447266,8.11106,-76.80147281676531,9.450782,-72.26689317137003,0.1367638111114502,22.79764175415039,-83.00455736190081,22.688701629638672,-79.4829155626893,12.46787714958191,26.781761169433594,-82.82067575802405,27.66427993774414,-79.35519968420267,4.509036064147949,16.030048,-78.73255823642016,12.988073,-78.17340657144786
2,1,2,369,51.029515981674194,0.3642026,-85.93267103220026,43.3928,-54.57370214596391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9664819240570068,0.3642026,-85.93267103220026,43.3928,-54.57370214596391
2,2,0,10,0.007646083831787109,8.477901,-103.56710962563753,9.059783,-187.735978975296,0.19620800018310547,21.250782012939453,-116.52661147857705,13.229055404663086,-203.81404959201814,41.98458290100098,22.837751388549805,-116.541166754812,15.623205184936523,-205.4068476629257,16.12227702140808,28.951338,-115.69634134242932,24.002748,-207.2484609222412
2,2,2,738,107.41198992729187,1.6161362,-118.86985292613507,91.061745,-180.10198290348052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.47205114364624,5.017226,-121.55934306636453,111.25798,-185.50011603355406
2,10,0,50,0.03143787384033203,9.007488,-1113.2818450672428,8.829435,-768.0938768899441,1.2343800067901611,24.1964054107666,-1181.694892591536,24.896257400512695,-832.2660698306561,328.4552729129791,23.57086181640625,-1180.7549649007121,23.821277618408203,-833.2275576007366,300.3228669166565,25.216276,-1180.4171306314568,27.861301,-830.5902631700039
