test_cost,opt_cost,ls_cost
-17.0,-18.0,-17.0
-137.0,-137.0,-137.0
-35.0,-40.0,-35.0
-11.0,-11.0,-11.0
-13.0,-19.0,-13.0
-101.0,-112.0,-101.0
-16.0,-16.0,-16.0
-27.0,-29.0,-27.0
-71.0,-71.0,-71.0
-17.0,-19.0,-17.0
-122.0,-132.0,-122.0
-32.0,-34.0,-32.0
-11.0,-12.0,-11.0
-15.0,-19.0,-15.0
-17.0,-24.0,-17.0
-16.0,-20.0,-16.0
-49.0,-74.0,-49.0
-22.0,-39.0,-22.0
-27.0,-31.0,-27.0
-7.0,-8.0,-7.0
-10.0,-12.0,-9.0
-45.0,-51.0,-45.0
-21.0,-38.0,-21.0
-34.0,-37.0,-36.0
-18.0,-18.0,-18.0
-113.0,-147.0,-113.0
-59.0,-62.0,-59.0
-17.0,-22.0,-17.0
-27.0,-34.0,-27.0
-45.0,-49.0,-45.0
-12.0,-15.0,-12.0
-14.0,-19.0,-14.0
-21.0,-30.0,-21.0
-17.0,-22.0,-17.0
-6.0,-7.0,-6.0
-13.0,-16.0,-13.0
-76.0,-99.0,-76.0
-21.0,-22.0,-21.0
-469.0,-469.0,-469.0
-113.0,-113.0,-113.0
-23.0,-24.0,-23.0
-39.0,-39.0,-39.0
-70.0,-84.0,-84.0
-15.0,-17.0,-15.0
-4.0,-5.0,-4.0
-11.0,-12.0,-11.0
-12.0,-14.0,-12.0
-40.0,-44.0,-40.0
-147.0,-168.0,-147.0
-15.0,-17.0,-15.0
-19.0,-23.0,-19.0
-8.0,-11.0,-8.0
-10.0,-13.0,-10.0
-33.0,-39.0,-33.0
-42.0,-49.0,-37.0
-33.0,-36.0,-33.0
-5.0,-7.0,-5.0
-112.0,-112.0,-112.0
-132.0,-156.0,-132.0
-8.0,-13.0,-8.0
-9.0,-9.0,-9.0
-19.0,-20.0,-19.0
-9.0,-12.0,-9.0
-18.0,-22.0,-18.0
-14.0,-14.0,-14.0
-109.0,-118.0,-109.0
-71.0,-76.0,-71.0
-107.0,-107.0,-107.0
-12.0,-14.0,-12.0
-51.0,-68.0,-51.0
-11.0,-12.0,-11.0
-41.0,-43.0,-30.0
-7.0,-8.0,-7.0
-26.0,-26.0,-26.0
-161.0,-163.0,-161.0
-26.0,-36.0,-26.0
-51.0,-51.0,-51.0
-26.0,-37.0,-33.0
-19.0,-28.0,-19.0
-11.0,-12.0,-11.0
-18.0,-18.0,-18.0
-17.0,-27.0,-17.0
-34.0,-36.0,-34.0
-8.0,-8.0,-8.0
-10.0,-14.0,-10.0
-24.0,-25.0,-24.0
-15.0,-17.0,-15.0
-27.0,-27.0,-27.0
-5.0,-7.0,-5.0
-44.0,-44.0,-44.0
-12.0,-22.0,-12.0
-126.0,-177.0,-126.0
-16.0,-17.0,-16.0
-9.0,-9.0,-9.0
-13.0,-16.0,-13.0
-25.0,-33.0,-25.0
-14.0,-18.0,-14.0
-29.0,-39.0,-29.0
-32.0,-35.0,-24.0
-29.0,-30.0,-29.0
-21.0,-24.0,-19.0
-13.0,-14.0,-13.0
-28.0,-28.0,-28.0
-39.0,-40.0,-39.0
-38.0,-50.0,-38.0
-28.0,-28.0,-28.0
-11.0,-14.0,-11.0
-21.0,-22.0,-22.0
-26.0,-43.0,-35.0
-26.0,-31.0,-26.0
-9.0,-9.0,-9.0
-11.0,-13.0,-11.0
-26.0,-26.0,-26.0
-29.0,-29.0,-29.0
-7.0,-8.0,-7.0
-7.0,-8.0,-7.0
-19.0,-24.0,-19.0
-19.0,-33.0,-19.0
-9.0,-9.0,-9.0
-50.0,-50.0,-50.0
-6.0,-9.0,-6.0
-30.0,-35.0,-30.0
-19.0,-25.0,-19.0
-4.0,-8.0,-4.0
-24.0,-26.0,-24.0
-26.0,-36.0,-26.0
-10.0,-11.0,-10.0
-12.0,-16.0,-11.0
-97.0,-97.0,-97.0
-9.0,-11.0,-9.0
-32.0,-34.0,-32.0
-22.0,-29.0,-22.0
-5.0,-8.0,-5.0
-14.0,-16.0,-14.0
-28.0,-38.0,-28.0
-34.0,-37.0,-34.0
-15.0,-22.0,-16.0
-65.0,-83.0,-65.0
-123.0,-125.0,-123.0
-5.0,-6.0,-5.0
-37.0,-37.0,-37.0
-28.0,-38.0,-28.0
-15.0,-16.0,-15.0
-34.0,-39.0,-34.0
-12.0,-15.0,-12.0
-20.0,-27.0,-14.0
-43.0,-54.0,-43.0
-33.0,-33.0,-33.0
-40.0,-50.0,-40.0
-19.0,-24.0,-19.0
-47.0,-53.0,-47.0
-28.0,-36.0,-28.0
-22.0,-24.0,-22.0
-54.0,-61.0,-54.0
-11.0,-13.0,-11.0
-14.0,-16.0,-14.0
-48.0,-68.0,-48.0
-62.0,-63.0,-62.0
-66.0,-72.0,-66.0
-16.0,-21.0,-16.0
-7.0,-8.0,-7.0
-9.0,-9.0,-9.0
-8.0,-9.0,-8.0
-10.0,-10.0,-10.0
-31.0,-46.0,-31.0
-27.0,-27.0,-27.0
-32.0,-35.0,-32.0
-116.0,-139.0,-116.0
-6.0,-7.0,-6.0
-7.0,-10.0,-7.0
-20.0,-30.0,-20.0
-32.0,-40.0,-32.0
-34.0,-40.0,-33.0
-200.0,-221.0,-200.0
-30.0,-35.0,-30.0
-19.0,-22.0,-19.0
-9.0,-10.0,-9.0
-130.0,-143.0,-130.0
-86.0,-103.0,-86.0
-17.0,-19.0,-17.0
-59.0,-59.0,-59.0
-20.0,-31.0,-21.0
-45.0,-55.0,-45.0
-19.0,-22.0,-19.0
-22.0,-25.0,-22.0
-154.0,-156.0,-154.0
-5.0,-6.0,-5.0
-12.0,-17.0,-12.0
-27.0,-27.0,-27.0
-93.0,-103.0,-93.0
-147.0,-170.0,-147.0
-14.0,-16.0,-14.0
-32.0,-36.0,-32.0
-41.0,-52.0,-41.0
-8.0,-10.0,-8.0
-15.0,-20.0,-15.0
-54.0,-61.0,-54.0
-17.0,-17.0,-15.0
-11.0,-14.0,-11.0
-38.0,-43.0,-38.0
